,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
204,I07,1.3241666666666667,103.93138888888889,Yes,Private,Stand,New Upp Changi Rd along driveway outside Blk 209
205,I08,1.3233333333333333,103.92944444444444,Yes,LTA,Stand,New Upp Changi Rd outside Bedok MRT station (towards City)
206,I09,1.3308333333333333,103.92527777777778,Yes,CCS,Stand,Bedok North St 3 outside Blk 539
207,I10,1.3377777777777777,103.9238888888889,Yes,LTA,Stand,Bedok Reservoir Rd outside Blk 739A
208,I11,1.3116666666666668,103.9388888888889,Yes,CCS,Stand,Bayshore Rd outside The Bayshore
209,I12,1.307777777777778,103.9225,Yes,LTA,Stand,Marine Parade Rd outside Mandarin Gardens
210,I13,1.3047222222222223,103.91472222222222,Yes,CCS,Stand,Marine Terrace outside Blk 54
211,I16,1.3033333333333335,103.90111111111112,Yes,Private,Stand,Mountbatten Rd along driveway of Katong Shopping Centre
212,I17,1.3202777777777777,103.91222222222223,Yes,LTA,Stand,Sims Ave East outside Kembangan MRT station
213,I18,1.3172222222222223,103.89777777777779,Yes,CCS,Stand,Sims Ave outside Block 2C
214,I19,1.3161111111111112,103.89444444444445,Yes,CCS,Stand,Sims Ave near Tanjong Katong Complex
215,I20,1.3141666666666667,103.8938888888889,Yes,CCS,Stand,Tanjong Katong Rd outside City Plaza
216,I21,1.3141666666666667,103.89416666666668,Yes,Private,Stand,Tanjong Katong Rd at KINEX
217,I22,1.3177777777777777,103.89166666666668,Yes,LTA,Stand,Paya Lebar Rd outside Paya Lebar CCL Station (Ent C)
218,I23,1.3186111111111112,103.89305555555556,Yes,Private,Stand,Eunos Rd 8 outside Paya Lebar Square
219,I24,1.3188888888888888,103.88722222222223,Yes,LTA,Stand,Geylang East Ctrl outside Geylang Polyclinic
220,I25,1.3155555555555556,103.88305555555554,No,LTA,Stand,Geylang Lor 25A outside Aljunied MRT Station
221,I26,1.3419444444444444,103.88027777777778,Yes,LTA,Stand,Bartley Rd outside Bartley CCL Station (Ent A)
222,I27,1.3083333333333333,103.88916666666667,Yes,LTA,Stand,Old Airport Rd outside Dakota CCL Station (Ent A)
223,I28,1.3005555555555557,103.87527777777777,Yes,Private,Stand,Stadium Cres outside Singapore Indoor Stadium
224,I29,1.3033333333333335,103.87694444444443,Yes,Private,Stand,Stadium Blvd near OCBC Arena
225,I30,1.3038888888888889,103.87222222222222,Yes,Private,Stand,Stadium Pl outside Kallang Wave Mall
226,I31,1.323888888888889,103.92916666666667,Yes,Private,Stand,New Upp Changi Rd at Bedok Mall
227,I32,1.3269444444444445,103.93222222222222,Yes,Private,Stop,Bedok North St 1 at Heartbeat@Bedok (Bedok Integrated Complex)
228,I33,1.3269444444444445,103.88277777777778,Yes,LTA,Stand,Merpati Rd outside Mattar DTL Station (Ent A)
229,I34,1.3258333333333334,103.88361111111112,Yes,LTA,Stand,Mattar Rd outside Mattar DTL Station (Ent B)
230,I35,1.3258333333333334,103.88916666666667,Yes,LTA,Stand,Circuit Rd outside Macpherson DTL Station (Ent A)
231,I36,1.3297222222222222,103.89972222222222,Yes,LTA,Stand,Ubi Ave 2 outside Ubi DTL Station (towards MacPherson) (Ent A)
232,I37,1.3294444444444444,103.89833333333334,Yes,LTA,Stand,Ubi Ave 2 outside Ubi DTL Station (towards Kaki Bukit) (Ent B)
233,I38,1.3341666666666665,103.90722222222223,Yes,LTA,Stand,Kaki Bukit Ave 1 outside Kaki Bukit DTL Station (Ent B)
234,I39,1.3341666666666665,103.9088888888889,Yes,LTA,Stand,Jalan Damai outside Kaki Bukit DTL Station (Ent B)
235,I40,1.335,103.91777777777779,Yes,LTA,Stand,Bedok North Rd outside Bedok North DTL Station (Ent A)
236,I41,1.333611111111111,103.91861111111112,Yes,LTA,Stand,Bedok North Rd outside Bedok North DTL Station (Ent B)
237,I42,1.3333333333333333,103.95694444444445,Yes,Private,Stand,Upp Changi Rd East at driveway of Max Atria EXPO
238,I43,1.336111111111111,103.93277777777779,Yes,LTA,Stand,Bedok North Ave 3 outside Bedok Reservoir DTL Station (towards Bedok Reservoir) (Ent A)
239,I44,1.3358333333333332,103.93333333333334,Yes,LTA,Stand,Bedok North Ave 3 outside Bedok Reservoir DTL Station (Ent B)
240,I45,1.345,103.93805555555556,Yes,LTA,Stand,Tampines Ave 4 outside Tampines West DTL Station (Ent A)
241,I46,1.3444444444444443,103.93916666666667,Yes,LTA,Stand,Tampines Ave 1 outside Tampines West DTL Station (Ent B)
242,I47,1.3561111111111113,103.95444444444445,Yes,LTA,Stand,Tampines Ave 7 outside Tampines East DTL Station (Ent A)
243,I48,1.3416666666666666,103.96083333333334,Yes,LTA,Stop,Jln Pergam outside Upper Changi DTL Station (Ent A)
244,I49,1.3411111111111111,103.96138888888889,Yes,LTA,Stand,Upp Changi Rd East outside Upper Changi DTL Station (Ent B)
245,I51,1.353611111111111,103.92361111111111,Yes,Private,Stand,Tampines Walk at Our Tampines Hub
246,I52,1.3611111111111112,103.98972222222223,Yes,Private,Stop,Taxi Stop 1A at Changi Airport T1 Arrival (T1 North West)
247,I53,1.3608333333333333,103.99027777777778,Yes,Private,Stop,Taxi Stop 1B at Changi Airport T1 Arrival (T1 North East)
248,I54,1.3608333333333333,103.98972222222223,Yes,Private,Stop,Taxi Stop 1C at Changi Airport T1 Arrival (T1 South West)
249,I55,1.3608333333333333,103.99,Yes,Private,Stop,Taxi Stop 1D at Changi Airport T1 Arrival (T1 South East)
250,I56,1.3561111111111113,103.98916666666666,Yes,Private,Stop,Taxi Stop 2B at Changi Airport T2 Arrival Drive (T2 North)
251,I57,1.3555555555555556,103.98833333333333,Yes,Private,Stop,Taxi Stop 2A at Changi Airport T2 Arrival Drive (T2 South)
252,I58,1.3561111111111113,103.9875,Yes,Private,Stop,Taxi Stop 3B at Changi Airport T3 Arrival Drive (T3 North)
253,I59,1.355,103.98666666666666,Yes,Private,Stop,Taxi Stop 3A at Changi Airport T3 Arrival Drive (T3 South)
254,I60,1.338611111111111,103.98305555555555,Yes,Private,Stop,Taxi Stop 4B at Changi Airport T4 Link (T4 North)
255,I61,1.337222222222222,103.9825,Yes,Private,Stop,Taxi Stop 4A at Changi Airport T4 Link (T4 South)
256,I62,1.3452777777777778,103.94638888888889,Yes,CCS,Stand,Tampines St 11 near Blk 114
257,J01,1.3416666666666666,103.75138888888888,Yes,LTA,Stand,Bukit Batok West Ave 5 opposite Bukit Gombak MRT Station (outside Blk 372)
258,J03,1.3966666666666667,103.7475,Yes,LTA,Stand,Choa Chu Kang Dr outside Yew Tee MRT Station
259,J04,1.2833333333333332,103.78111111111112,Yes,LTA,Stand,Pasir Panjang Rd outside Haw Par Villa
260,J05,1.3111111111111111,103.77777777777777,Yes,LTA,Stand,Commonwealth Ave West outside Dover MRT Station (Ent A)
261,J06,1.3108333333333333,103.77916666666667,Yes,LTA,Stand,Commonwealth Ave West outside Dover MRT Station (Ent B)
262,J07,1.3133333333333335,103.76555555555555,Yes,LTA,Stand,Commonwealth Ave West outside Clementi MRT Station (towards Jurong East)
