,BusStopCode,RoadName,Description,Latitude,Longitude
446,12139,Mt Sinai Rd,Aft Mt Sinai Lane,1.31453185933289,103.78504157068625
447,12141,Mt Sinai Rd,Opp Henry Pk,1.31574389841394,103.78239154819083
448,12149,Mt Sinai Rd,Henry Pk,1.31576900455367,103.78266099158458
449,12151,Moonbeam Walk,Bef Moonbeam Terr,1.31865064467378,103.78127574919664
450,12169,Pandan Valley,Pandan Valley,1.31916549240365,103.77724170687915
451,12179,Mt Sinai Rise,Montview,1.31679504687757,103.7769949436126
452,12189,Mt Sinai Rise,Bef Mt Sinai Dr,1.31642693680141,103.78022402243116
453,12199,Mt Sinai Rise,Opp Village Twr,1.31547998901343,103.77820622498255
454,12201,Clementi Ave 6,Logishub @ Clementi,1.32670826856501,103.76399509585458
455,12209,Clementi Ave 6,Opp Logishub @ Clementi,1.32653202760922,103.76429968220569
456,12211,Mt Sinai Dr,Bef Mt Sinai Wk,1.31721336095462,103.78070712088581
457,13011,Napier Rd,Opp S'pore Botanic Gdns,1.306516,103.819225
458,13019,Napier Rd,S'pore Botanic Gdns,1.3067380217198,103.82013079894885
459,13021,Holland Rd,Aft Min Of Foreign Affairs,1.30633972996805,103.81430670816292
460,13029,Holland Rd,Bef Tyersall Ave,1.30671783282361,103.8145185880206
461,13031,Tanglin Rd,Opp Chatsworth Rd,1.29912972200223,103.81707388901162
462,13039,Tanglin Rd,Bef Chatsworth Rd,1.29981572699945,103.81744265557978
463,13041,Tanglin Rd,Aft Rochalie Dr,1.30242834318416,103.81967634723284
464,13049,Tanglin Rd,Bef Rochalie Dr,1.30261671321463,103.82045069624506
465,13051,River Valley Rd,Opp Valley Pt,1.29334305906356,103.8263656209055
466,13059,River Valley Rd,Valley Pt,1.29328273601932,103.82663492676832
467,13062,River Valley Rd,STELLAR RV,1.29476674399435,103.82853268161283
468,13063,River Valley Rd,RV SUITES,1.29534692836828,103.82964309110659
469,13069,River Valley Rd,RV RESIDENCES,1.29488000002792,103.82880805602646
470,13071,River Valley Rd,Riva Lodge,1.29636199316259,103.8322512944371
471,13079,River Valley Rd,The Cosmopolitan,1.29612213279141,103.83229211134126
472,13081,River Valley Rd,St. Thomas Wk,1.2959113890106,103.83624277798825
473,13089,River Valley Rd,Opp St. Thomas Wk,1.29575111096804,103.83604111103381
474,13091,River Valley Rd,AFT KIM YAM RD,1.29593138900491,103.83937805601917
475,13099,River Valley Rd,BEF KIM YAM RD,1.29578024244395,103.83961272081199
476,13101,River Valley Rd,Opp Mohd Sultan Rd,1.29414162678811,103.84231209757696
477,13109,River Valley Rd,UE Sq/Bef Mohd Sultan Rd,1.29350944398488,103.84272416702719
478,13119,Kim Seng Rd,Opp Great World City,1.29362677394379,103.83283853530904
