,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1191,Jalan Besar CC,Community Centre,69 Jellicoe Road 208737,1.30800417111748,103.861786572317,Jalan Besar CC 69 Jellicoe Road,ChIJd4Ja-ckZ2jERhr2arEOISJg,536.0,4.4,0.010866259857684432,4.1558354551360415
1192,Joo Chiat CC,Community Centre,405 Joo Chiat Road 427633,1.30745720639376,103.904168869493,Joo Chiat CC 405 Joo Chiat Road,ChIJ0Rz6Sg0Y2jERmgd6ZjD41YE,82.0,3.9,0.0016623755752427677,4.152732317534556
1193,Jurong Green CC,Community Centre,6 Jurong West Avenue 1 649520,1.35055603170356,103.725341556777,Jurong Green CC 6 Jurong West Avenue 1,ChIJl3OX0d4P2jERfrhbQVC52gI,822.0,4.1,0.016664301498165304,4.152267392983432
1194,Jurong Spring CC (U/C),Community Centre,8 Jurong West Street 52 649296,1.34833016917296,103.718155703267,Jurong Spring CC (U/C) 8 Jurong West Street 52,ChIJ7zhb19wP2jERictRTHw9CFo,290.0,3.9,0.005879133131956129,4.151664832062992
1195,Kallang CC,Community Centre,45 Boon Keng Road 339771,1.31780290497647,103.862373282501,Kallang CC 45 Boon Keng Road,ChIJVVVVBdIZ2jERvblaxcflgVc,455.0,4.1,0.009224157155310478,4.15266286011517
1196,Kampong Chai Chee CC,Community Centre,11 Bedok North Street 1 469662,1.32698498848449,103.931620621577,Kampong Chai Chee CC 11 Bedok North Street 1,ChIJq6qqqk092jERVbzddOcwe6U,1.0,5.0,2.027287286881424e-05,4.153170321171619
1197,Kampong Glam CC,Community Centre,385 Beach Road 199581,1.30279521839327,103.863597858268,Kampong Glam CC 385 Beach Road,ChIJq6qqcrEZ2jERtJYskj9TJiA,278.0,4.0,0.005635858657530359,4.152290003629028
1198,Kampong Kembangan CC,Community Centre,5 Lengkong Tiga 417408,1.32315519886988,103.912698650056,Kampong Kembangan CC 5 Lengkong Tiga,ChIJ44tt7QAY2jERGT9ywJz6_QM,301.0,4.1,0.006102134733513086,4.152828805451102
1199,Kampong Ubi CC,Community Centre,10 Jalan Ubi 409075,1.31784643130184,103.900750126977,Kampong Ubi CC 10 Jalan Ubi,ChIJPRrhkhoY2jERMMNSzjg2Tkg,383.0,4.0,0.007764510308755854,4.151963993916677
1200,Cheng San CC,Community Centre,6 Ang Mo Kio Street 53 569205,1.37178044674321,103.849569976256,Cheng San CC 6 Ang Mo Kio Street 53,ChIJPYyYbeYW2jERzWoaDgHfUhw,428.0,4.1,0.008676789587852495,4.152691954427313
