,ID,Category,Name,coordinates,Pri_Popularity_Score,long,lat,google_place_id,num_ratings,avg_rating,W,weighted_rating
109,123,Primary School,GREENWOOD PRIMARY SCHOOL,"103.804725587384,1.43989958331782",2.5,103.804725587384,1.43989958331782,ChIJwUVeAXYT2jERCvnC2iNWnZI,43.0,4.4,0.006691565515094927,4.265816229025723
110,74,Primary School,CLEMENTI PRIMARY SCHOOL,"103.762966674996,1.31505731320501",2.5,103.762966674996,1.31505731320501,ChIJgzPSLZAa2jERfE9_WhsbuJU,25.0,4.8,0.003890445066915655,4.2669940100796655
111,142,Primary School,JING SHAN PRIMARY SCHOOL,"103.852132214306,1.37223290983498",2.0,103.852132214306,1.37223290983498,ChIJXRj5nfoW2jER8caf6_TY-sk,38.0,4.2,0.005913476501711796,4.264528423455151
112,7,Primary School,ANCHOR GREEN PRIMARY SCHOOL,"103.887111138358,1.39054394024591",2.0,103.887111138358,1.39054394024591,ChIJNz0blm0W2jER1j2s44pL-Lw,41.0,3.8,0.006380329909741674,4.261945986971787
113,55,Primary School,CHIJ (KATONG) PRIMARY,"103.911104935556,1.30664965374234",2.0,103.911104935556,1.30664965374234,ChIJ2-Wm3HQY2jERgk0RiaF5qh4,25.0,4.1,0.003890445066915655,4.264270698532824
114,190,Primary School,NAVAL BASE PRIMARY SCHOOL,"103.838794077233,1.41630663159387",2.0,103.838794077233,1.41630663159387,ChIJR8ps-BMU2jERGxVzVS5TG5A,21.0,4.1,0.0032679738562091504,4.264373351679853
116,179,Primary School,MONTFORT JUNIOR SCHOOL,"103.889741457901,1.37362445234082",2.0,103.889741457901,1.37362445234082,ChIJaZgcr0cW2jERlouvKKLEfFI,43.0,4.2,0.006691565515094927,4.264477915922704
117,310,Primary School,VALOUR PRIMARY SCHOOL,"103.899078139493,1.40683570215319",2.0,103.899078139493,1.40683570215319,ChIJ9yPEV8UV2jERMMezRSaaE_U,4.0,4.0,0.0006224712107065049,4.264747380433655
118,333,Primary School,XISHAN PRIMARY SCHOOL,"103.837755319448,1.43347186925064",2.0,103.837755319448,1.43347186925064,ChIJTS7YE2QU2jERpII5Eh-xL-A,42.0,4.4,0.006535947712418301,4.265795206971677
119,107,Primary School,FERNVALE PRIMARY SCHOOL,"103.874088586824,1.38966308328476",2.0,103.874088586824,1.38966308328476,ChIJ9THAg2QW2jERo7a2We99yus,49.0,3.9,0.007625272331154684,4.26212972518442
120,330,Primary School,XINGNAN PRIMARY SCHOOL,"103.687950252103,1.34254744877694",2.0,103.687950252103,1.34254744877694,ChIJ0c1cxJ4P2jERiZ70xxE_V1I,47.0,4.3,0.007314036725801431,4.265168913569326
121,93,Primary School,EDGEFIELD PRIMARY SCHOOL,"103.907430523653,1.40029783011552",2.0,103.907430523653,1.40029783011552,ChIJVykERAcW2jERjkryPev9iaY,33.0,3.3,0.005135387488328665,4.259957082248103
122,211,Primary School,PALM VIEW PRIMARY SCHOOL,"103.891354675017,1.38376923022123",2.0,103.891354675017,1.38376923022123,ChIJGRxIxmoW2jERJAN0jt53xX8,37.0,4.4,0.005757858699035169,4.265690096701448
123,60,Primary School,CHIJ OUR LADY QUEEN OF PEACE,"103.767412204602,1.366603668561",2.0,103.767412204602,1.366603668561,ChIJXbmJj6wR2jERv4uz7E1IuSQ,31.0,4.0,0.004824151882975412,4.263634303623984
124,346,Primary School,YUMIN PRIMARY SCHOOL,"103.950461927088,1.35129177656981",2.0,103.950461927088,1.35129177656981,ChIJKQcHXho92jERZx09HY5mbuQ,35.0,4.4,0.0054466230936819175,4.265648052593357
125,96,Primary School,ENDEAVOUR PRIMARY SCHOOL,"103.817174701639,1.45388170417263",2.0,103.817174701639,1.45388170417263,ChIJEbc1amET2jER-FRRivzSbLw,44.0,4.5,0.006847183317771553,4.266521969411546
126,291,Primary School,TAMPINES NORTH PRIMARY SCHOOL,"103.948768900518,1.36048786025607",2.0,103.948768900518,1.36048786025607,ChIJAW9xgwg92jERrQcxhvEk3Gs,35.0,3.9,0.0054466230936819175,4.262924741046516
127,40,Primary School,BUKIT TIMAH PRIMARY SCHOOL,"103.767243310781,1.33751860013147",2.0,103.767243310781,1.33751860013147,ChIJsalQ4GQQ2jERiI3Ep9qgTKg,29.0,4.7,0.00451291627762216,4.266875795152369
