,street,project,marketSegment,SVY21_x,SVY21_y,lat,long,avg_price_per_sqm,district,commonest_tenure
144,WEST COAST PARK,BOTANNIA,OCR,19241.83324,33444.51281,1.3187335610612183,103.75462194912517,13157.733970547195,05,956 yrs lease commencing from 1928
145,COVE WAY,SEASCAPE,CCR,28549.14846,24732.73534,1.2399485469456721,103.83825281178119,20503.672702184707,04,99 yrs lease commencing from 2007
146,ENGGOR STREET,SKYSUITES@ANSON,CCR,29271.29089,28569.17836,1.2746439780436838,103.84474158735381,24770.107863151356,02,99 yrs lease commencing from 2008
147,ALEXANDRA ROAD,ALESSANDREA,RCR,26805.70503,30323.08119,1.2905056626808513,103.82258734137963,14547.74440983908,03,Freehold
148,CHWEE CHIAN ROAD,BANYAN CONDOMINIUM,RCR,23048.75808,28991.76103,1.2784653049814012,103.78882982026265,12826.574217836867,05,Freehold
149,PASIR PANJANG HILL,HORIZON RESIDENCES,RCR,22507.87605,29375.67251,1.2819371751255197,103.78396972782953,16238.469706331876,05,Freehold
150,JALAN BUKIT HO SWEE,MERAPRIME,RCR,27384.44093,29941.92068,1.2870585976552187,103.827787531999,16277.646948401005,03,99 yrs lease commencing from 2003
151,JALAN MEMBINA,CENTRAL GREEN CONDOMINIUM,RCR,27396.24926,29657.73452,1.2844885180023342,103.82789364006136,14717.092976272055,03,99 yrs lease commencing from 1992
152,JALAN LEMPENG,REGENT PARK,OCR,19946.09604,33315.60113,1.3175679235793967,103.7609501424947,10715.265884903703,05,99 yrs lease commencing from 1993
153,STIRLING ROAD,QUEENS,RCR,25033.49158,30562.88589,1.29267425403127,103.80666324335687,13453.044071391485,03,99 yrs lease commencing from 1998
154,ONE-NORTH GATEWAY,ONE-NORTH RESIDENCES,RCR,23179.13688,31564.61931,1.3017333449782467,103.79000092863318,15696.22833102867,05,99 yrs lease commencing from 2005
155,DEPOT ROAD,THE INTERLACE,RCR,24628.43429,29404.85109,1.282201354238727,103.803023755865,12714.383917694247,04,99 yrs lease commencing from 2009
156,ALEXANDRA ROAD,THE ANCHORAGE,RCR,24832.26679,30230.30292,1.2896664711165793,103.80485518691725,14751.165201470147,03,Freehold
157,TELOK BLANGAH ROAD,SKYLINE RESIDENCES,RCR,25141.59429,28240.98249,1.2716757861798562,103.80763480136376,20337.142153596273,04,Freehold
158,PASIR PANJANG ROAD,SEASUITES,RCR,22415.8392,29429.15467,1.2824208326597295,103.78314273203374,18478.60164420386,05,Freehold
159,PASIR PANJANG ROAD,PARC REGENCY,RCR,21842.62591,30070.80009,1.288223539098141,103.7779920652664,11067.102189149431,05,Freehold
160,WEST COAST VALE,WHISTLER GRAND,OCR,19209.44944,33541.60842,1.319611649331411,103.75433093652748,15442.664109015579,05,99 yrs lease commencing from 2018
161,KAMPONG BAHRU ROAD,HARBOUR SUITES,RCR,27350.09915,28303.67672,1.2722428929038605,103.82747899080161,17311.224489795917,04,Freehold
162,PEARL BANK,ONE PEARL BANK,RCR,28722.95346,29488.88355,1.2829614866292858,103.839814598314,26084.96786154281,03,99 yrs lease commencing from 2019
163,SOUTH BUONA VISTA ROAD,VIVA VISTA,RCR,22723.76402,29139.70697,1.2798032231419976,103.78590960326167,16751.625704833168,05,Freehold
164,WEST COAST CRESCENT,WESTCOVE CONDOMINIUM,OCR,20534.15193,31177.94848,1.298235908820501,103.76623463563209,9089.993242455483,05,99 yrs lease commencing from 1995
165,MARGARET DRIVE,MARGARET VILLE,RCR,24604.32635,31319.54941,1.2995172081125763,103.80280693021439,20004.089219261037,03,99 yrs lease commencing from 2017
166,KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,RCR,25516.36659,27739.98731,1.2671449928930936,103.81100230063198,17653.549856485784,04,99 yrs lease commencing from 2006
167,PASIR PANJANG ROAD,THE ORIENT,RCR,22460.78367,29266.26428,1.28094771758907,103.78354660384655,19746.97531376653,05,Freehold
168,PASIR PANJANG ROAD,WHITEHAVEN,RCR,21787.11209,30251.3024,1.2898559268680936,103.77749321558277,14803.13584262749,05,Freehold
169,RIVER VALLEY ROAD,LIANG COURT,RCR,29263.19701,30431.94641,1.2914901988884144,103.84466893506776,4959.860253256809,06,97 yrs lease commencing from 1980
170,TELOK BLANGAH DRIVE,HARBOUR VIEW TOWERS,RCR,25239.47792,28278.20128,1.2720123885202443,103.80851431684476,12544.019680012985,04,99 yrs lease commencing from 1990
